group_id,cve_id
G0001,CVE-2016-7255
G0001,CVE-2016-7855
G0001,CVE-2017-7269
G0003,CVE-1999-0016
G0003,CVE-2004-0566
G0003,CVE-2005-0233
G0003,CVE-2007-0943
G0003,CVE-2014-3931
G0003,CVE-2016-0101
G0003,CVE-2017-1188
G0003,CVE-2017-11882
G0003,CVE-2018-0798
G0003,CVE-2018-0802
G0006,CVE-2015-5119
G0007,CVE-2015-3043
G0007,CVE-2015-2590
G0007,CVE-2016-7255
G0007,CVE-2016-7855
G0007,CVE-2017-11882
G0007,CVE-2018-8174
G0007,CVE-2015-2590
G0007,CVE-2010-3333
G0007,CVE-2012-0158
G0007,CVE-2013-1347
G0007,CVE-2013-3897
G0007,CVE-2014-1761
G0007,CVE-2014-1776
G0007,CVE-2015-2590
G0007,CVE-2015-4902
G0007,CVE-2015-7645
G0010,CVE-2017-11882
G0010,CVE-2017-11882
G0010,CVE-2017-11882
G0010,CVE-2017-11882
G0017,CVE-2015-1641
G0020,CVE-2014-4148
G0022,CVE-2015-5119
G0022,CVE-2015-3113
G0022,CVE-2017-11882
G0022,CVE-2015-3113
G0022,CVE-2015-5119
G0024,CVE-2015-3043
G0024,CVE-2015-2424
G0024,CVE-2015-2590
G0024,CVE-2015-2590
G0026,CVE-2015-5119
G0027,CVE-2017-0144
G0027,CVE-2019-0604
G0027,CVE-2017-0144
G0027,CVE-2019-0604
G0027,CVE-2017-0144
G0027,CVE-2019-0604
G0027,CVE-2017-0144
G0027,CVE-2019-0604
G0027,CVE-2017-0144
G0027,CVE-2019-0604
G0027,CVE-2017-0144
G0027,CVE-2019-0604
G0027,CVE-2012-0158
G0027,CVE-2017-11882
G0027,CVE-2017-0144
G0027,CVE-2019-0604
G0027,CVE-2017-0144
G0027,CVE-2019-0604
G0030,CVE-2014-6332
G0032,CVE-2015-6585
G0034,CVE-2014-4114
G0034,CVE-2014-4114
G0034,CVE-2019-10149
G0040,CVE-2015-1641
G0041,CVE-2014-4148
G0045,CVE-2017-0143
G0045,CVE-2017-0143
G0045,CVE-2014-0322
G0049,CVE-2017-11882
G0050,CVE-2017-11882
G0050,CVE-2017-11882
G0050,CVE-2017-11882
G0060,CVE-2015-5119
G0063,CVE-2017-11292
G0067,CVE-2016-0189
G0068,CVE-2015-2545
G0075,CVE-2018-0798
G0080,CVE-2016-4117
G0080,CVE-2017-0199
G0080,CVE-2017-8759
G0080,CVE-2017-11882
G0080,CVE-2017-8759
G0080,CVE-2017-8759
G0080,CVE-2017-0199
G0080,CVE-2021-40444
G0093,CVE-2005-0068
G0099,CVE-2024-43451
G0100,CVE-2017-11882
G0100,CVE-2017-11882
G0108,CVE-2019-18935
G0117,CVE-2019-11510
G0117,CVE-2019-19781
G0117,CVE-2020-5902
G0119,CVE-2024-37085
G0121,CVE-2017-11882
G0121,CVE-2017-11882
G0125,CVE-2021-26855
G0128,CVE-2017-0005
G0128,CVE-2017-0005
G0128,CVE-2025-53770
G0128,CVE-2025-53771
G0138,CVE-2023-46604
G0138,CVE-2023-42793
G1001,CVE-2014-8361
G1001,CVE-2017-17215
G1001,CVE-2023-27350
G1003,CVE-2016-7255
G1003,CVE-2016-7855
G1003,CVE-2023-38831
G1003,CVE-2021-32648
G1006,CVE-2020-6519
G1008,CVE-2023-38831
G1011,CVE-2021-40444
G1011,CVE-2021-40444
G1021,CVE-2021-44228
G1022,CVE-2024-11859
G1023,CVE-2022-27518
G1040,CVE-2015-0359
G1040,CVE-2015-3090
G1040,CVE-2015-3113
G1040,CVE-2015-5119
G1041,CVE-2025-27920
G1046,CVE-2024-26169
G1048,CVE-2023-20867
G1049,CVE-2024-7971
G1054,CVE-1999-0016
G1054,CVE-2004-0566
G1054,CVE-2005-0233
G1054,CVE-2007-0943
G1054,CVE-2014-3931
G1054,CVE-2016-0101
G1054,CVE-2017-1188
G1054,CVE-2017-11882
G1054,CVE-2018-0798
G1054,CVE-2018-0802
